executionStartTime,executionEndTime,executionLatency,containerId,hostId,statusCode,requestResponseLatency,requestTime,responseTime,requestId,replicas,cpCpuUsage,cpMemoryUsage,n3CpuUsage,n3MemoryUsage,n2CpuUsage,n2MemoryUsage,n4CpuUsage,n4MemoryUsage,n1CpuUsage,n1MemoryUsage,functionInvocationRate,schedulingLatency
1621110342.6699321,1621110347.3559089,4.68597674369812,7b00c276-c9f0-4e22-b11d-00bd81ccd72e,1621076759,200,4.983999967575073,1621110342.399,1621110347.383,d9db613d-4aa8-45ce-8dd9-c1e6829c4b37,4,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,1099m,0.2709321975708008
1621110345.7789063,1621110350.6210978,4.842191457748413,7b00c276-c9f0-4e22-b11d-00bd81ccd72e,1621076759,200,5.228000164031982,1621110345.399,1621110350.627,2701586a-bdf3-41c4-a641-f826b8df7a8c,4,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,900m,0.37990641593933105
1621110348.8092659,1621110354.8836327,6.074366807937622,7b00c276-c9f0-4e22-b11d-00bd81ccd72e,1621076759,200,6.498000144958496,1621110348.399,1621110354.897,c3ad4d2e-c740-426d-a517-176c33d2fa41,4,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,799m,0.4102659225463867
1621110338.1240044,1621110354.9505372,16.82653284072876,2ceb6eed-f80d-4dea-afb7-b0c5399fe9cb,1621076758,200,17.75,1621110337.398,1621110355.148,aeb54b0b-ac42-4917-a716-59e54a867d97,4,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,799m,0.7260043621063232
1621110345.084925,1621110357.3827496,12.297824621200562,27ceedc0-c78c-468e-80fe-463fbb01e9d7,1621076758,200,13.023000001907349,1621110344.399,1621110357.422,31dc739d-6f8b-46bc-918d-a6705131b914,4,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,899m,0.6859250068664551
1621110350.7872796,1621110358.0149248,7.2276451587677,7b00c276-c9f0-4e22-b11d-00bd81ccd72e,1621076759,200,7.651000022888184,1621110350.399,1621110358.05,8d3fc04b-154d-45a6-9731-d2cc305fbec7,4,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,899m,0.38827967643737793
1621110356.8885267,1621110361.3373525,4.448825836181641,377daaa7-0711-4676-9b9a-202343e283d5,1621076759,200,4.944000005722046,1621110356.399,1621110361.343,8c71bc30-202b-43df-a303-f536a5aae8d3,8,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,999m,0.48952674865722656
1621110350.7732177,1621110362.4669406,11.69372296333313,27ceedc0-c78c-468e-80fe-463fbb01e9d7,1621076758,200,13.120000123977661,1621110349.399,1621110362.519,be003ee4-4349-42c5-a95b-a9c9befa8c66,8,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,799m,1.3742177486419678
1621110354.5370347,1621110363.4897819,8.952747106552124,7b00c276-c9f0-4e22-b11d-00bd81ccd72e,1621076759,200,10.129000186920166,1621110353.399,1621110363.528,77c52b4b-1f27-47af-83a1-2a68efff6018,8,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,799m,1.1380348205566406
1621110341.7092412,1621110364.773176,23.063934803009033,2ceb6eed-f80d-4dea-afb7-b0c5399fe9cb,1621076758,200,24.4760000705719,1621110340.399,1621110364.875,a662d944-7c64-4296-ae25-82daeeb9ba12,8,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,1100m,1.3102412223815918
