executionStartTime,executionEndTime,executionLatency,containerId,hostId,statusCode,requestResponseLatency,requestTime,responseTime,requestId,replicas,s-2vcpu-2gb-5-default-pool-8a2seCpuUsage,s-2vcpu-2gb-5-default-pool-8a2seMemoryUsage,s-2vcpu-2gb-5-default-pool-8a2sgCpuUsage,s-2vcpu-2gb-5-default-pool-8a2sgMemoryUsage,s-2vcpu-2gb-5-default-pool-8a2saCpuUsage,s-2vcpu-2gb-5-default-pool-8a2saMemoryUsage,s-2vcpu-2gb-5-default-pool-8a2swCpuUsage,s-2vcpu-2gb-5-default-pool-8a2swMemoryUsage,s-2vcpu-2gb-5-default-pool-8a2s6CpuUsage,s-2vcpu-2gb-5-default-pool-8a2s6MemoryUsage,functionInvocationRate,schedulingLatency
1623615581.1891923,1623615596.265028,15.075835704803467,81faeb02-8a0c-4b15-946f-54644e917279,1623612625,200,16.074000120162964,1623615580.326,1623615596.4,937ae0af-2e04-48c2-a1a6-da63caa8e592,12,75556608n,788220Ki,51430712n,735776Ki,68071554n,721256Ki,56652536n,453248Ki,71729857n,470820Ki,2099m,0.8631923198699951
1623615590.5954614,1623615597.1318336,6.536372184753418,73688c21-615b-4e3f-b379-9f5a90790652,1623612613,200,6.86299991607666,1623615590.325,1623615597.188,4150be4e-84fd-4cb2-8324-4b056340b588,12,75556608n,788220Ki,51430712n,735776Ki,68071554n,721256Ki,56652536n,453248Ki,71729857n,470820Ki,2099m,0.2704613208770752
1623615591.1410012,1623615597.2147737,6.073772430419922,591bfa8d-0c0c-4074-b3d5-0b5b8d5346cc,1623612613,200,6.601000070571899,1623615590.659,1623615597.26,12021970-12be-43e1-86fa-a6f97db5c8b5,12,75556608n,788220Ki,51430712n,735776Ki,68071554n,721256Ki,56652536n,453248Ki,71729857n,470820Ki,2099m,0.48200130462646484
1623615593.6157658,1623615597.7295122,4.113746404647827,5e5da5f8-3525-43d0-8d4f-f0afe08a76b5,1623612617,200,4.448999881744385,1623615593.325,1623615597.774,81e0926d-442e-49c0-98ca-867eb1bf04cb,12,75556608n,788220Ki,51430712n,735776Ki,68071554n,721256Ki,56652536n,453248Ki,71729857n,470820Ki,2200m,0.29076576232910156
1623615581.9623775,1623615597.8811162,15.918738603591919,81faeb02-8a0c-4b15-946f-54644e917279,1623612625,200,17.289999961853027,1623615580.659,1623615597.949,80ed3a4b-5d20-4cb9-8832-03be0d5124e8,12,75556608n,788220Ki,51430712n,735776Ki,68071554n,721256Ki,56652536n,453248Ki,71729857n,470820Ki,2200m,1.303377628326416
1623615594.3167944,1623615597.9564707,3.639676332473755,5e5da5f8-3525-43d0-8d4f-f0afe08a76b5,1623612617,200,4.010999917984009,1623615593.992,1623615598.003,4907f5d3-5409-4217-9488-944660823c1b,12,75556608n,788220Ki,51430712n,735776Ki,68071554n,721256Ki,56652536n,453248Ki,71729857n,470820Ki,2200m,0.32479429244995117
1623615595.8134992,1623615600.749496,4.935996770858765,591bfa8d-0c0c-4074-b3d5-0b5b8d5346cc,1623612613,200,5.4730000495910645,1623615595.325,1623615600.798,52f292a9-05da-4389-9d5c-5cee26a044e2,12,257326255n,919024Ki,1473210482n,1017328Ki,652505077n,831392Ki,2000080660n,1554772Ki,2000130255n,1574796Ki,1999m,0.48849916458129883
1623615591.7815275,1623615600.6696959,8.888168334960938,73688c21-615b-4e3f-b379-9f5a90790652,1623612613,200,9.418999910354614,1623615591.326,1623615600.745,26d7359b-0731-4f32-96ad-12d92290eb20,12,257326255n,919024Ki,1473210482n,1017328Ki,652505077n,831392Ki,2000080660n,1554772Ki,2000130255n,1574796Ki,1999m,0.45552754402160645
1623615597.1652677,1623615601.0525634,3.887295722961426,5e5da5f8-3525-43d0-8d4f-f0afe08a76b5,1623612617,200,4.440999984741211,1623615596.658,1623615601.099,07d92e76-580c-4c76-9bc9-578828054f36,12,257326255n,919024Ki,1473210482n,1017328Ki,652505077n,831392Ki,2000080660n,1554772Ki,2000130255n,1574796Ki,1999m,0.5072677135467529
1623615588.3816302,1623615601.4277952,13.046164989471436,70882918-379f-479c-bbbc-677fab314f49,1623612622,200,14.157999992370605,1623615587.327,1623615601.485,2085dd2e-42e7-49a7-af95-a5ce4950c4d9,12,257326255n,919024Ki,1473210482n,1017328Ki,652505077n,831392Ki,2000080660n,1554772Ki,2000130255n,1574796Ki,1499m,1.0546302795410156
