executionStartTime,executionEndTime,executionLatency,containerId,hostId,statusCode,requestResponseLatency,requestTime,responseTime,requestId,replicas,cpCpuUsage,cpMemoryUsage,n3CpuUsage,n3MemoryUsage,n4CpuUsage,n4MemoryUsage,n2CpuUsage,n2MemoryUsage,n1CpuUsage,n1MemoryUsage,functionInvocationRate,schedulingLatency
1621019750.1751623,1621019753.9434211,3.768258810043335,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,4.1540000438690186,1621019749.8,1621019753.954,db200aff-c2ec-4cf8-a0c8-37e3da3fbfc0,2,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,500m,0.37516236305236816
1621019752.6833942,1621019756.5972054,3.913811206817627,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,4.253000020980835,1621019752.3,1621019756.553,a86e92f3-d1ab-4d5b-b296-2f156f1c443b,2,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,300m,0.3833942413330078
1621019755.17948,1621019758.5389633,3.359483242034912,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,3.744999885559082,1621019754.802,1621019758.547,8afb954f-59f3-4fb9-9823-a9d772d5d6fd,2,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,300m,0.37748003005981445
1621019757.5744407,1621019760.5979526,3.0235118865966797,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,3.253000020980835,1621019757.3,1621019760.553,55ead87d-a25f-4e93-8cb1-5504e9fd6cd2,2,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,600m,0.2744407653808594
1621019760.1438425,1621019762.8605573,2.716714859008789,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,3.008999824523926,1621019759.801,1621019762.81,f170a941-a4ab-4a37-b448-3c3471f5b9be,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,400m,0.34284234046936035
1621019762.587385,1621019764.6850307,2.0976457595825195,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.3389999866485596,1621019762.3,1621019764.639,d7d6fbd7-522e-470a-994d-ac34ca14e7bd,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,500m,0.2873849868774414
1621019765.0031452,1621019767.3072872,2.3041419982910156,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.4590001106262207,1621019764.8,1621019767.259,0b54ca69-8886-4870-b6f1-5d447eddcea8,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,500m,0.20314526557922363
1621019766.7464614,1621019769.3557942,2.609332799911499,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.8420000076293945,1621019766.467,1621019769.309,0d028f67-1e90-4386-baa2-e68250d74fa6,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,500m,0.2794613838195801
1621019768.3133273,1621019770.8805604,2.567233085632324,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,2.753999948501587,1621019768.134,1621019770.888,630d6f80-f983-4bf3-b656-41434b4a7478,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,400m,0.17932724952697754
1621019770.0406315,1621019772.5410187,2.500387191772461,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.691999912261963,1621019769.801,1621019772.493,1cc97569-d0b7-4367-8256-fb5d48bfb9c6,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,500m,0.23963141441345215
